user,rating,komentar,timestamp,sentimen,platform
MASHUDI MASYADI,5,Memuaskan,16/04/2026 19:16,positif,Google Maps
Lisman Laoli Laoli,5,good job untuk gojek,16/04/2026 19:08,positif,Google Maps
Fayi Store,5,oke mantab,16/04/2026 19:01,positif,Google Maps
Lie Arli,2,"untuk gofoodnya ga ngotak bgt biaya penanganannya , untuk gojek gocar ok.",16/04/2026 18:57,negatif,Google Maps
Suwanto Utomo,5,masih aman,16/04/2026 18:53,positif,Google Maps
edhi tjahjanto,5,ok,16/04/2026 18:44,positif,Google Maps
dian nurwulan,5,sangat membantu antar jemput anak,16/04/2026 18:43,positif,Google Maps
Saya Rima,5,"cepat, nyaman dan aman",16/04/2026 18:38,positif,Google Maps
Ahmad Rifai,5,josss,16/04/2026 18:37,positif,Google Maps
Rhendy Gandoz,5,"sesuai kebutuhan masyarakat, top bgt",16/04/2026 18:36,positif,Google Maps
Kadar Riah,5,cuma gopay later ya ga bisa di pakai,16/04/2026 18:15,negatif,Google Maps
Agung manihuruk,2,saya sedikit heran dengan layanan gojek saya dapat komplain dari salah satu driver mengatakan kalo rating akun gojek saya 4.15 padahal setiap kali saya order gojek... driver nya selalu saya kasih tip setiap perjalanan dan tip nya pun bukan harga kecil tapi selalu di atas 50 ribu. itupun setiap saya pesan driver tetapi saat saya pesan gofood malah di bilang rating saya 4.15,16/04/2026 18:03,negatif,Google Maps
ferry firmansyah,5,top,16/04/2026 17:51,positif,Google Maps
Yustina Juniarti,5,"sangat membantu,memudahkan dan cepat respon",16/04/2026 17:32,positif,Google Maps
Fitria Sulistyo,5,ok,16/04/2026 17:29,positif,Google Maps
Haji ulum,5,"driver sangat ramah, dan nyaman dlm berkendara",16/04/2026 17:14,positif,Google Maps
Umar Shidiq,5,sangat membantu utk transportasi cepat dan murah,16/04/2026 17:14,positif,Google Maps
marni nie,5,aku yg terburu2 ngejar wkt...terselamatkan sm Bpk drivernya...pokoknya the best lah ..mksh y pak👍👍💪💪💪💪💪💪,16/04/2026 17:12,positif,Google Maps
Mothy Kilis,5,Good,16/04/2026 16:56,positif,Google Maps
muhammad sadik rahman,5,alhamdulillah aman pelayanannya baik,16/04/2026 16:51,positif,Google Maps
1D_10_Galuh Viga,1,gausah sok asik,16/04/2026 16:35,negatif,Google Maps
Furqon Muhamad,5,senang seklai,16/04/2026 16:29,positif,Google Maps
FAJAR FAJRIYAN,5,aplikasi ini sangat lahh nyaman kalau lagi genting,16/04/2026 16:17,positif,Google Maps
Supriadi Eddy,5,Driver nya ramah dan tidak ngebut-ngebutan.,16/04/2026 16:13,positif,Google Maps
Tasya nurul Febrianti,5,aplikasi ini sangat membantu saya dan pelayanannya baik sekali,16/04/2026 16:07,positif,Google Maps
Faradis Arisona,1,"Min, kenapa saya tidak bisa update?",16/04/2026 16:04,negatif,Google Maps
Siti Fatimah,5,sangat amat membantu .🤗🤗,16/04/2026 15:41,positif,Google Maps
Deva Ramadhani,5,slalu ada saat dibutuhkan..huahahahahah....,16/04/2026 15:40,positif,Google Maps
Angel Lika,5,lebih nyaman aman,16/04/2026 15:37,positif,Google Maps
Ramli Siahaan,2,"Dengan adanya goride Hemat saya rasa malah menyiksa driver.kasian drivernya cm dapet rp 8,500 doang",16/04/2026 15:35,negatif,Google Maps
Wanay 2701,5,mantap,16/04/2026 15:32,positif,Google Maps
Ronggo Warsito,5,ok,16/04/2026 15:21,positif,Google Maps
Atika Aprilia,3,udah gada gojek hematnya lagi:(,16/04/2026 15:21,netral,Google Maps
M Amzar,1,sudah bayar lunas malahan gak bisa tarik dana aplikasi tolol,16/04/2026 15:14,negatif,Google Maps
ayahnya siapa,1,"makin jelek pelayanan nya,,,nunggu hampir 1 jam ga ada yg ngambil orderan padahal jarak ga terlalu jauh",16/04/2026 15:01,negatif,Google Maps
Natural Herbal,4,2 kali ini saya dapat keluhan dari driver Gocar katanya potongan nya tinggi trus yg terakhir ini saya siminta di openin katanya sya gk ngerti maksudnya taunya udah sampe tujuan disuruh batalin trus duit nya disuruh transfer ke rek driver artinya dia gk mau pake aplikasi tolong dipertimbangkan kesejahteraan driver biar gk curang atau ngeluh mulu,16/04/2026 14:49,negatif,Google Maps
Edie Tri K Praptomo,5,good aolikasi,16/04/2026 14:38,positif,Google Maps
Ismuha,5,ok,16/04/2026 14:33,positif,Google Maps
Pricilla Rumengan,5,"bagus bangett, banyak in diskon nya dong",16/04/2026 14:07,positif,Google Maps
Rahman Wijaya,5,mantap,16/04/2026 13:47,positif,Google Maps
Aisyah Muthmainnah,1,"1. CS lama membalas 2. tertulis transaksi di batalkan dan refund, tp saldo tidak berubah 3. CS bilang gabisa refund karna transaksi berasal dr akun dan silakan cek riwayat. pdhl di riwayat tertera REFUND namun saldo tidak dikembalikan.",16/04/2026 13:41,negatif,Google Maps
Syarijuddin Al-Farisi,5,"Bapak Gojeknya baik sekali, sholeh. Semoga rezekinya semakin melimpah dan berkah. Aamiin Ya Rabbal alamin",16/04/2026 13:39,positif,Google Maps
Agus Sugianto,5,super muantap,16/04/2026 13:33,positif,Google Maps
denis Mahendra,5,mantap sihh bermanfaat banget terimakasih,16/04/2026 13:29,positif,Google Maps
Deri Elfatih,1,"Maaf saya kasih B1 untuk mewakili para driver yg kalian tindas dng segala kebijakan yg hanya menguntungkan perusahaan tanpa memperdulikan driver, terimakasih",16/04/2026 13:28,negatif,Google Maps
Yoko Suyoko,1,penjemputan terlalu jauh,16/04/2026 13:25,negatif,Google Maps
Si Obos,3,"sulit untuk melaporkan masalah aplikasi ke CS, karna sudah diberikan pilihan. sedangkan untuk kasus baru yg tidak ada di pilihan tidak bisa dilaporkan karna tidak bisa mengetik pelaporan. masalah saya adalah ketika pesen gocar, saya diarahkan pada trek lewat tol dan lebih jauh sehingga ongkos yg harus saya bayar hampir 2 kali lipat dari seharusnya, tapi ketika pengantaran drivernya mengantar saya lewat jalur non tol, ya karna memang lebih dekat lewat non tol. tolong kedepan diberi opsi jalur.",16/04/2026 13:14,negatif,Google Maps
Kha Jay,5,Ok,16/04/2026 13:14,positif,Google Maps
Raihan Al Hasir setiadi,4,mohon tambahan fitur lokasi ketik manual(dulu kejadian karna salah posisi sedikit terhs tidak bisa ketik manual driver marah marah karna jalan lebih jauh dan memaksa minta tip padahal saya sudah benar memasang titik),16/04/2026 13:11,negatif,Google Maps
joehanes ari (Joe Ari),5,Not Bad,16/04/2026 12:55,negatif,Google Maps
Wayan Suptiana,5,mantap,16/04/2026 12:55,positif,Google Maps
Adji Putri Agusmaulia,5,the besst,16/04/2026 12:43,positif,Google Maps
Ameer Saleem,5,is oke,16/04/2026 12:43,positif,Google Maps
belum ada judul cileungsi,1,manajemen Gojek program nya bikin driver dan restoran hancur,16/04/2026 12:39,negatif,Google Maps
Ali Subagyo,5,Good experience,16/04/2026 12:34,positif,Google Maps
Joko Sumarno,1,"aplikasi sanggat parah ,argo semakin ancur ( para drever hanya d siksa demi kepentingan aplikator ) tiapa ganti pemimpin aplikasi bukan tambah bener malah kacau",16/04/2026 12:26,negatif,Google Maps
Yakuza Zaing,5,good,16/04/2026 12:00,positif,Google Maps
Junior C. Y. P,5,memudahkan,16/04/2026 11:52,positif,Google Maps
Muhamad fajar,5,"pelayanan baik,. sangat membantu",16/04/2026 11:49,positif,Google Maps
Exo Romman,3,kode pin paket gosen bikin ribet. kalo pelanggan ngak bisa di hubungin bikin ribet driver. males bngt jadinya,16/04/2026 11:43,negatif,Google Maps
Erna Agustina,1,Sekarang dpt driver terutama order gosend susah bgt! mungkin karena tarif atau apa. Mau pake reguler atau promo sama2 susah. Ga seperti dulu skrg gojek.,16/04/2026 11:37,negatif,Google Maps
arief soetikno hadiwidjojo,5,Ok,16/04/2026 11:35,positif,Google Maps
febri ardiansyah,2,"topup pun d potong! parah! dah lah makin mahal, makin lambat lg saatnya beralih",16/04/2026 11:27,negatif,Google Maps
arthamas aditama,1,tolong bantu saya top up kuota Im3 lewat gopay tidak masuk masuk sampai sekarang,16/04/2026 11:25,negatif,Google Maps
Hanifah Ada hacker,5,"hari ini tanggal 16/4 2026 d aplikasi gojek saya,, ongkir gofood tidak ada yg biasa hanya ada yg cepat Rp.20.000 an dan harganya meningkat dan hampir saya seperti harga makanan 27.000 ,, knp tidak ada ongkir yg biasa tidak bs di klik dan harus mengklik yg onkir cepat..padahal jaraknya dekat ya",16/04/2026 11:23,positif,Google Maps
Rizki Akbar,5,mantap,16/04/2026 11:10,positif,Google Maps
Paul Touk,5,menyenangkan,16/04/2026 10:59,positif,Google Maps
Bee 17,5,"entar entar, Update.",16/04/2026 10:54,positif,Google Maps
Cute Cinema,5,mantab...,16/04/2026 10:50,positif,Google Maps
Urang Bandung (ARS),5,ok,16/04/2026 10:30,positif,Google Maps
Hazim izra,1,"aplikasi error tidak bisa memesan makanan di merangin,jambi",16/04/2026 10:27,negatif,Google Maps
Zerrin Masya Segye,1,expensive and this app always make me late 👎👎👎,16/04/2026 10:25,negatif,Google Maps
pradi setiyadi,1,tdk bs diinstal,16/04/2026 09:41,negatif,Google Maps
Mas Mas,5,mantab,16/04/2026 09:15,positif,Google Maps
Naura Ayu Shabrina,5,mantafff,16/04/2026 09:12,positif,Google Maps
cecepsaifudin Aza,5,bagus sangat membatu sekali semoga makin sukses,16/04/2026 08:47,positif,Google Maps
AB Santoso,5,wowwww,16/04/2026 08:45,positif,Google Maps
Gita Fitri nurmalinda,5,gojek tuh aneh kenapa tiap kali ngorder pasti sush pasti lama dan pasti dapet jauh dan harus nunggu lama belum lagi yg dichancel,16/04/2026 08:16,negatif,Google Maps
Jajang Mulyadi1002,2,kenapa sih kalo nganterin yang dekat2 tuh dripernya gak mau narik dengan alasan ngejemput jauh terkadang kecewa sama dripernya tuh tolong di perbaiki lagi setiap aku pesan jarak dekat sopirnya jarang ada yang mau dengan alasan jauh ngejemputbya,16/04/2026 08:02,negatif,Google Maps
Rifandi Realme,5,pelayanannya cepet,16/04/2026 07:43,positif,Google Maps
Djafardi,5,ok banget,16/04/2026 07:36,positif,Google Maps
Soni Hendrawan,5,tolong area kota pati ada tambahan dr8ver gojek lagi,16/04/2026 07:35,negatif,Google Maps
Nabiil Wilson,5,mantap,16/04/2026 07:32,positif,Google Maps
Mbak Syaroh,5,mau instal,16/04/2026 07:20,positif,Google Maps
Dimas Bagusaji,5,tolong dong buat para customer/penumpang yang terhormat jangan terlalu sering cancel ke driver jangan suka iseng kasian para driver jadi ngaruh ke performa..kalo mau cancel mending chat dlu alasan nya apa,16/04/2026 07:11,negatif,Google Maps
Dohirun Amin,5,sangat senang sekali,16/04/2026 07:09,positif,Google Maps
Keysa Panda Priskila,5,bagus,16/04/2026 07:05,positif,Google Maps
vios 1585,5,driver gojeg. sangat mempesona . di samping experience high class berkemudi. grooming harum sekali . thanks Gojeg,16/04/2026 07:03,positif,Google Maps
Ap Cb,2,driver lu noh makin lama Makin susah buat dpt driver,16/04/2026 06:59,negatif,Google Maps
apaja bro,1,"masa dpt diskon smpe 20 mnt an g dpt dpt gojekny, ga pke diskon smpe 25 an pdhl dkt , yg bnr aj",16/04/2026 06:32,negatif,Google Maps
PNNFRN,5,diskon nya banyak thank you gojek😭❤️,16/04/2026 06:31,positif,Google Maps
Gigih Setiawan,1,LEMOT,16/04/2026 06:31,negatif,Google Maps
Rakha Ibnu hidayat,3,dapet gojeknya lama abis,16/04/2026 06:25,negatif,Google Maps
Kiandra Ayla Indhira,3,dapet drivernya lama,16/04/2026 06:18,negatif,Google Maps
Prastiyo Dalang,5,baik,16/04/2026 06:16,positif,Google Maps
ari evi,5,sangat dibutuhkan ..simple..praktis,16/04/2026 06:15,positif,Google Maps
Rohmad Basuki,5,mantab,16/04/2026 06:13,positif,Google Maps
Ardi Sunardi,5,layanan oke,16/04/2026 06:05,positif,Google Maps
makaiy laH,5,bagus,16/04/2026 06:04,positif,Google Maps
Sisno Grade,5,sangat membantu,16/04/2026 05:16,positif,Google Maps
Lukman Nul hakim,5,puaaasss...,16/04/2026 04:42,positif,Google Maps
Turmudi Mudi,5,Bagus pelayananya,16/04/2026 03:41,positif,Google Maps
Yanicantik1 Yanicantik1,5,sy trimakasi sangat membatu perjlnan,16/04/2026 03:04,positif,Google Maps
Wire Wire,5,terimakasih 🙏🙏,16/04/2026 02:56,positif,Google Maps
Imam Mustopa,5,puas,16/04/2026 02:54,positif,Google Maps
Agung Darmawan,1,makin ga jelas costemer gojekek makin kesini orang dalam dan orang robot jawaban nya kaya orang gila' untuk menyeselaikan masalah di persulit ..,16/04/2026 01:49,negatif,Google Maps
Ami Lestari,5,terbaik,16/04/2026 01:48,positif,Google Maps
Achmad Hanafi,5,masih terlalu lama mendapatkan driver,16/04/2026 01:46,negatif,Google Maps
Gojek sue Komunitas,1,Kapan bangrut jek.ndang di tutup lah,16/04/2026 01:11,negatif,Google Maps
Papa Rayyan,5,terimakasih,15/04/2026 23:31,positif,Google Maps
Puniran,1,saya kok tidak bisa menerima teanferan dari bank lain ya...pdahal sudah sukses saldo kepotong..tp gak sampai ke gopay ku,15/04/2026 23:00,negatif,Google Maps
Yana Anna,1,setiap mau pesan gofood selalu susah dapat driver sekarang.dan lama banget,15/04/2026 22:34,negatif,Google Maps
Iyan Agianan,1,promonya hoax,15/04/2026 22:30,negatif,Google Maps
Ucok Bae,1,GOJEK MAHAL,15/04/2026 22:29,negatif,Google Maps
Khalisa Aiza Nurfakhira,1,kecewa..pinjam 200 aja gak pernah di ACC uninstall.... sepertinya gak percaya dengan kunsumen lama...butut!,15/04/2026 22:17,negatif,Google Maps
Dymas Adji,5,"LDR support system, terimakasih gojek",15/04/2026 22:10,positif,Google Maps
pejuang pemikir,5,Terbaik lah pokoknya,15/04/2026 22:07,positif,Google Maps
Eva nuraliah,5,good job,15/04/2026 22:03,positif,Google Maps
syaifur shopee,3,"saran untuk gojek, tolong buat fitur khusus untuk penyandang disabilitas, seperti driver yang bisa bahasa isyarat dan mobil yang muat untuk kursi roda, karena saya sebagai orang tua memiliki anak remaja yang tunawicara dan pengguna kursi roda ingin melihat anak beraktivitas dengan normal seperti remaja lain",15/04/2026 21:41,negatif,Google Maps
ACHMAD CHOMAEDI,5,oke,15/04/2026 21:27,positif,Google Maps
Filly Sabrina,5,sangat bgus,15/04/2026 21:06,positif,Google Maps
syang reni reni puspita sari,5,perfect,15/04/2026 21:06,positif,Google Maps
Elysia nur putri,5,terpecaya,15/04/2026 20:51,positif,Google Maps
Rafka Athfantiyo,5,"mantab, murah meriah praktis",15/04/2026 20:49,positif,Google Maps
Kirno,5,semangat pejuang rupiah mantap lah pokoknya,15/04/2026 20:31,positif,Google Maps
Ben Bangben,5,Ok baik,15/04/2026 20:19,positif,Google Maps
catur Suseno,5,ok baik,15/04/2026 20:14,positif,Google Maps
Putu Ariasa,5,all good,15/04/2026 20:10,positif,Google Maps
Dedi Setiawan,5,nice,15/04/2026 20:08,positif,Google Maps
CLARETA Hana,5,pelayanan baik meski bbrp driver pelayanan kurang baik,15/04/2026 20:04,positif,Google Maps
fita arimbi,5,Pencarian driver agak lama,15/04/2026 20:02,negatif,Google Maps
ONルビ,1,"jelek bgt, gk bisa chat gk bisa tlp tiba² dpt notif drive dah nyampe padahal blm ada",15/04/2026 19:46,negatif,Google Maps
Handri Pamungkas,5,bagus sekali,15/04/2026 19:43,positif,Google Maps
Saepudin Bewok,5,tepat waktu,15/04/2026 19:37,positif,Google Maps
azzamihamdi,5,banyak promo nyaaa,15/04/2026 19:19,positif,Google Maps
Dedi Sutardi,5,dimana pun dan kapan pun sangat membantu,15/04/2026 19:17,positif,Google Maps
Stevan Dharma,5,"tepat waktu,",15/04/2026 19:16,positif,Google Maps
Ivan Ramadhani,5,"Bagus Aplikasinye,tp sayang sistemnya makin hari makin gajelas,driver yg jauh² pada suruh ngambil,sedangkan driver yg deket² gamau ambil.",15/04/2026 19:15,positif,Google Maps
Riko Frihamdani,5,bagus sangat membantu,15/04/2026 19:15,positif,Google Maps
Sumarni Marni,5,"sy hampir setiap hr GOJEK ,semua baik"" rama",15/04/2026 19:05,positif,Google Maps
Dera Saputra,5,sangat membantu,15/04/2026 18:59,positif,Google Maps
Aztiar Nadiandri,5,"cara kerjanya bagus,banyak promonya, jadi gampang dan cepat kalau mau pesen apa,kemana"" juga jadi gampang",15/04/2026 18:54,positif,Google Maps
rismon saani,5,bgus,15/04/2026 18:50,positif,Google Maps
Muhammad Akbar,5,"aplikasi nya sat set,, ga pake lama",15/04/2026 18:26,negatif,Google Maps
Bang toyes mie maya Miemaya,5,bagus👍🏼👍🏼👍🏼,15/04/2026 18:17,positif,Google Maps
Den's Kelana,5,Map bagus dan akurat...mantap,15/04/2026 18:05,positif,Google Maps
Nazar Surya,1,"driver banyak di sekitar an tapi ga dapat dapat, tiap pesan begini,dibatalkan malah menawarkan untuk menaikkan ongkos, tapi ongkos masuk ke drivernya tetap sama ga ikut naik",15/04/2026 17:54,negatif,Google Maps
Jihan Rumi,5,memudahkan perjalanan,15/04/2026 17:53,positif,Google Maps
Arsyila Sila,5,sangat membantu,15/04/2026 17:52,positif,Google Maps
Jadtno Parking,5,ok,15/04/2026 17:46,positif,Google Maps
Aby Phang,1,orang aplikasi pengirim barang kok hide nomor drivernya nomor customer jg di hide dari driver gmn mau komunikasi dipersulit,15/04/2026 17:46,negatif,Google Maps
Kaning Ning,5,ok mntp,15/04/2026 17:46,positif,Google Maps
tomi sunarto,5,selama menggunakan aman² aja,15/04/2026 17:38,positif,Google Maps
Dri Kuswanto,5,mantap,15/04/2026 17:27,positif,Google Maps
Rahma Min,5,oke,15/04/2026 17:26,positif,Google Maps
Amelia zahra,5,pelayanan nya mantep,15/04/2026 17:12,positif,Google Maps
Raihan azmi Syab'an,5,top,15/04/2026 17:08,positif,Google Maps
LVSKY,1,"Dompet gopay saya tiba tiba terkunci, padahal saya tidak melakukan transaksi yg mencurigakan, saya sudah minta bantuan tapi tidak ada solusi, tolong saldo saya tertahan di dompet",15/04/2026 17:07,negatif,Google Maps
Ayne Rhmh,5,selalu membantu keadaan darurat,15/04/2026 17:06,positif,Google Maps
Arip Fahri,1,aplikasi error Mulu beggoo,15/04/2026 17:02,negatif,Google Maps
Ni Made Shinta Hardiyanti bendesemas,5,Satu aplikasi yang paling bagus banget saya suka belanja digojek.,15/04/2026 16:53,positif,Google Maps
Intan12 Isnaini12,5,sngtt baguss😍,15/04/2026 16:39,positif,Google Maps
Feny Dhamayanti,3,"pengemudi nya kebanyakan kalau nyetir ugal ugalan, mereka loh bawa penumpang bukan barang... apa karena milih harga murah trus di perlakukan seperti itu...",15/04/2026 16:33,positif,Google Maps
Yorka,3,"Kek mana ini baru download, mau daftar aja kaga bisa, ada kendala teknis mulu",15/04/2026 16:31,negatif,Google Maps
Ando,5,nice,15/04/2026 16:25,positif,Google Maps
MUHAMMAD RIFKIY,5,gampang,15/04/2026 16:20,positif,Google Maps
Citra Nurmaning ayu,1,"pemesanan gofood makin susah dpt driver . waktu tunggu juga smakin lama udh gtu promo potongan hrga gofood skg makin sdkit dn potongan ongkir cuma 2,5rebu. mending beralih ke aplikasi sbelah aja..",15/04/2026 16:16,negatif,Google Maps
Sudiro Wiro,5,mantap,15/04/2026 16:15,positif,Google Maps
Lutfiah,1,"Sudah bayar gojek plus, driver baik mobil dan motor ya banyak yang cancel pesanan alasan kurang argo gimana sih",15/04/2026 16:05,negatif,Google Maps
Handri Sobar,4,bagus membantu,15/04/2026 15:55,positif,Google Maps
